Product Title,Price
"LAPTOP Ryzen 5 ACER Nitro 8|128+1TB|15.6|1650","$ 995.00 ó S/ 3,810.50"
"LAPTOP Ryzen 5 ACER Nitro 8|1T|15.6|GTX1650 GAMING","$ 970.00 ó S/ 3,715.00"
"LAPTOP Ryzen 5 ASUS M515UA 8|512|15.6|w11","$ 540.00 ó S/ 2,068.00"
"LAPTOP Ryzen 5 ASUS VivoBook Pro 14OLED 8|512|3050","$ 870.00 ó S/ 3,332.00"
"LAPTOP Ryzen 5 ASUS ZenBook UM325 8|512|13.3|w10","$ 850.00 ó S/ 3,255.50"
"LAPTOP Ryzen 5 ASUS ZenBook UM425 8|512|13.3|w10","$ 940.00 ó S/ 3,600.00"
"LAPTOP Ryzen 5 DELL G5 16|512|15.6|3050|w11","$ 1,260.00 ó S/ 4,825.50"
"LAPTOP Ryzen 5 DELL G5 8|512|15.6|3050|w11","$ 1,230.00 ó S/ 4,710.50"
"LAPTOP Ryzen 5 DELL Vostro 14 3405 8|256|14","$ 545.00 ó S/ 2,087.00"
"LAPTOP Ryzen 5 HP 15-ec1037la 16|512|15.6|1650Ti|w","$ 885.00 ó S/ 3,389.50"
"LAPTOP Ryzen 5 HP 15-ec1037la 8|512|15.6|1650Ti|w1","$ 860.00 ó S/ 3,293.50"
"LAPTOP Ryzen 5 HP 15-ef2511la 8|256|15.6|w11 Blue","$ 445.00 ó S/ 1,704.00"
"LAPTOP Ryzen 5 HP 15-eh0022la 8|512|15.6|w10","$ 678.00 ó S/ 2,596.50"
"LAPTOP Ryzen 5 HP 245 G8 8|256|14","$ 499.00 ó S/ 1,911.00"
"LAPTOP Ryzen 5 LENOVO Gaming 3 8|256|15.6|3050","$ 1,070.00 ó S/ 4,098.00"
"LAPTOP Ryzen 5 LENOVO V15 G2 8|256|15.6 FHD","$ 572.00 ó S/ 2,190.50"
"PC Ryzen 5 3600 MK RINO DESTROYER 16|512|22|1050Ti","$ 730.00 ó S/ 2,795.50"
"PC Ryzen 5 4500 MK RINO MX440-A 16|480|21.5|1050","$ 865.00 ó S/ 3,312.50"
"PC Ryzen 5 5500 MK RINO C200G 16|S1TB|23.8|1660","$ 1,339.00 ó S/ 5,128.00"
"PC Ryzen 5 5500 MK RINO FM100A 16|500|23.8|6500TX","$ 933.00 ó S/ 3,573.00"
"PC Ryzen 5 5500 MK RINO NEO II 8|480|21.5|1650","$ 823.00 ó S/ 3,152.00"
"PC Ryzen 5 5600 MK RINO 101 TUF 16|500|23.8|6500XT","$ 1,409.00 ó S/ 5,396.00"
"PC Ryzen 5 5600 MK RINO F111R 16|500|23.8|3060","$ 1,542.00 ó S/ 5,905.50"
"PC Ryzen 5 HP Victus TG02-0014lam 8|256+1|24|6400","$ 885.00 ó S/ 3,389.50"
"PC Ryzen 5 PRO LENOVO ThinkCentre M75q Tiny 8|512","$ 920.00 ó S/ 3,523.50"
"PROCESADOR AMD Ryzen 5 3600 3.6GHz|32MB 6C AM4",$ 199.00 ó S/ 762.00
"PROCESADOR AMD Ryzen 5 4500 3.6GHz|8MB 6C AM4",$ 124.00 ó S/ 474.50
"PROCESADOR AMD Ryzen 5 4600G 3.7GHz|8MB 6C AM4",$ 175.00 ó S/ 670.00
"PROCESADOR AMD Ryzen 5 5500 3.6GHz|16MB 6C AM4",$ 115.00 ó S/ 440.00
"PROCESADOR AMD Ryzen 5 5600 3.5GHz|32MB 6C AM4",$ 168.00 ó S/ 643.00
"PROCESADOR AMD Ryzen 5 5600X 3.7GHz|32MB 6C AM4",$ 229.00 ó S/ 877.00
"PROCESADOR AMD Ryzen 5 7600X 4.7GHz|32MB 6C AM5","$ 325.00 ó S/ 1,244.50"
